epoch,step,test/error_T,test/loss,train/loss,val/error_T,val/loss,val/loss_best
0,0,,,0.0,,,
1,1,,,9841.0810546875,,,
2,2,,,9826.5146484375,,,
3,3,,,9811.9013671875,,,
4,4,,,9797.2353515625,,,
5,5,,,9782.50390625,,,
6,6,,,9767.7041015625,,,
7,7,,,9752.828125,,,
8,8,,,9737.8681640625,,,
9,9,,,9722.8173828125,,,
10,10,,,9707.67578125,,,
11,11,,,9692.4345703125,,,
12,12,,,9677.0927734375,,,
13,13,,,9661.650390625,,,
14,14,,,9646.107421875,,,
15,15,,,9630.4599609375,,,
16,16,,,9614.712890625,,,
17,17,,,9598.869140625,,,
18,18,,,9582.9296875,,,
19,19,,,9566.900390625,,,
20,20,,,9550.7841796875,,,
21,21,,,9534.587890625,,,
22,22,,,9518.3154296875,,,
23,23,,,9501.97265625,,,
24,24,,,9485.568359375,,,
25,25,,,9469.1083984375,,,
26,26,,,9452.6005859375,,,
27,27,,,9436.0546875,,,
28,28,,,9419.4765625,,,
29,29,,,9402.87890625,,,
30,30,,,9386.26953125,,,
31,31,,,9369.66015625,,,
32,32,,,9353.0576171875,,,
33,33,,,9336.4775390625,,,
34,34,,,9319.9267578125,,,
35,35,,,9303.41796875,,,
36,36,,,9286.9619140625,,,
37,37,,,9270.568359375,,,
38,38,,,9254.2490234375,,,
39,39,,,9238.0146484375,,,
40,40,,,9221.875,,,
41,41,,,9205.8388671875,,,
42,42,,,9189.9208984375,,,
43,43,,,9174.1240234375,,,
44,44,,,9158.458984375,,,
45,45,,,9142.9384765625,,,
46,46,,,9127.5693359375,,,
47,47,,,9112.3564453125,,,
48,48,,,9097.3125,,,
49,49,,,9082.443359375,,,
50,50,,,9067.7548828125,,,
51,51,,,9053.2548828125,,,
52,52,,,9038.9501953125,,,
53,53,,,9024.8466796875,,,
54,54,,,9010.947265625,,,
55,55,,,8997.26171875,,,
56,56,,,8983.7890625,,,
57,57,,,8970.5361328125,,,
58,58,,,8957.50390625,,,
59,59,,,8944.6982421875,,,
60,60,,,8932.119140625,,,
61,61,,,8919.7666015625,,,
62,62,,,8907.64453125,,,
63,63,,,8895.7490234375,,,
64,64,,,8884.0830078125,,,
65,65,,,8872.642578125,,,
66,66,,,8861.427734375,,,
67,67,,,8850.435546875,,,
68,68,,,8839.6640625,,,
69,69,,,8829.109375,,,
70,70,,,8818.767578125,,,
71,71,,,8808.634765625,,,
72,72,,,8798.70703125,,,
73,73,,,8788.978515625,,,
74,74,,,8779.4443359375,,,
75,75,,,8770.1005859375,,,
76,76,,,8760.939453125,,,
77,77,,,8751.9580078125,,,
78,78,,,8743.1474609375,,,
79,79,,,8734.5048828125,,,
80,80,,,8726.0224609375,,,
81,81,,,8717.6953125,,,
82,82,,,8709.515625,,,
83,83,,,8701.482421875,,,
84,84,,,8693.5830078125,,,
85,85,,,8685.8173828125,,,
86,86,,,8678.1767578125,,,
87,87,,,8670.65625,,,
88,88,,,8663.2529296875,,,
89,89,,,8655.955078125,,,
90,90,,,8648.7646484375,,,
91,91,,,8641.6748046875,,,
92,92,,,8634.6787109375,,,
93,93,,,8627.7744140625,,,
94,94,,,8620.9560546875,,,
95,95,,,8614.2216796875,,,
96,96,,,8607.56640625,,,
97,97,,,8600.986328125,,,
98,98,,,8594.4794921875,,,
99,99,,,,0.8840847611427307,1789.3626708984375,1789.3626708984375
99,99,,,8588.0419921875,,,
100,100,,,8581.673828125,,,
101,101,,,8575.369140625,,,
102,102,,,8569.1259765625,,,
103,103,,,8562.9462890625,,,
104,104,,,8556.8251953125,,,
105,105,,,8550.7626953125,,,
106,106,,,8544.7587890625,,,
107,107,,,8538.8115234375,,,
108,108,,,8532.9189453125,,,
109,109,,,8527.0830078125,,,
110,110,,,8521.3037109375,,,
111,111,,,8515.5810546875,,,
112,112,,,8509.912109375,,,
113,113,,,8504.302734375,,,
114,114,,,8498.7451171875,,,
115,115,,,8493.24609375,,,
116,116,,,8487.802734375,,,
117,117,,,8482.421875,,,
118,118,,,8477.091796875,,,
119,119,,,8471.8232421875,,,
120,120,,,8466.611328125,,,
121,121,,,8461.4560546875,,,
122,122,,,8456.3583984375,,,
123,123,,,8451.318359375,,,
124,124,,,8446.337890625,,,
125,125,,,8441.41015625,,,
126,126,,,8436.5400390625,,,
127,127,,,8431.7275390625,,,
128,128,,,8426.9609375,,,
129,129,,,8422.25390625,,,
130,130,,,8417.5947265625,,,
131,131,,,8412.984375,,,
132,132,,,8408.4228515625,,,
133,133,,,8403.9091796875,,,
134,134,,,8399.44140625,,,
135,135,,,8395.0146484375,,,
136,136,,,8390.630859375,,,
137,137,,,8386.2822265625,,,
138,138,,,8381.97265625,,,
139,139,,,8377.7001953125,,,
140,140,,,8373.458984375,,,
141,141,,,8369.25,,,
142,142,,,8365.06640625,,,
143,143,,,8360.9150390625,,,
144,144,,,8356.7861328125,,,
145,145,,,8352.68359375,,,
146,146,,,8348.603515625,,,
147,147,,,8344.537109375,,,
148,148,,,8340.4990234375,,,
149,149,,,8336.4765625,,,
150,150,,,8332.46875,,,
151,151,,,8328.4794921875,,,
152,152,,,8324.501953125,,,
153,153,,,8320.5400390625,,,
154,154,,,8316.5908203125,,,
155,155,,,8312.650390625,,,
156,156,,,8308.72265625,,,
157,157,,,8304.810546875,,,
158,158,,,8300.896484375,,,
159,159,,,8297.001953125,,,
160,160,,,8293.115234375,,,
161,161,,,8289.234375,,,
162,162,,,8285.3642578125,,,
163,163,,,8281.4951171875,,,
164,164,,,8277.6376953125,,,
165,165,,,8273.78515625,,,
166,166,,,8269.9365234375,,,
167,167,,,8266.0986328125,,,
168,168,,,8262.2626953125,,,
169,169,,,8258.431640625,,,
170,170,,,8254.6064453125,,,
171,171,,,8250.78125,,,
172,172,,,8246.96484375,,,
173,173,,,8243.150390625,,,
174,174,,,8239.337890625,,,
175,175,,,8235.53125,,,
176,176,,,8231.7275390625,,,
177,177,,,8227.9267578125,,,
178,178,,,8224.126953125,,,
179,179,,,8220.333984375,,,
180,180,,,8216.54296875,,,
181,181,,,8212.751953125,,,
182,182,,,8208.96484375,,,
183,183,,,8205.181640625,,,
184,184,,,8201.400390625,,,
185,185,,,8197.623046875,,,
186,186,,,8193.849609375,,,
187,187,,,8190.080078125,,,
188,188,,,8186.31201171875,,,
189,189,,,8182.55029296875,,,
190,190,,,8178.78662109375,,,
191,191,,,8175.033203125,,,
192,192,,,8171.2822265625,,,
193,193,,,8167.5341796875,,,
194,194,,,8163.78759765625,,,
195,195,,,8160.05029296875,,,
196,196,,,8156.3125,,,
197,197,,,8152.58251953125,,,
198,198,,,8148.85498046875,,,
199,199,,,,0.8531278967857361,1666.2451171875,1666.2451171875
199,199,,,8145.134765625,,,
200,200,,,8141.4140625,,,
201,201,,,8137.703125,,,
202,202,,,8133.9951171875,,,
203,203,,,8130.29296875,,,
204,204,,,8126.5947265625,,,
205,205,,,8122.90380859375,,,
206,206,,,8119.2109375,,,
207,207,,,8115.525390625,,,
208,208,,,8111.8466796875,,,
209,209,,,8108.17041015625,,,
210,210,,,8104.50146484375,,,
211,211,,,8100.837890625,,,
212,212,,,8097.1787109375,,,
213,213,,,8093.5224609375,,,
214,214,,,8089.873046875,,,
215,215,,,8086.228515625,,,
216,216,,,8082.587890625,,,
217,217,,,8078.95166015625,,,
218,218,,,8075.3203125,,,
219,219,,,8071.6953125,,,
220,220,,,8068.07421875,,,
221,221,,,8064.458984375,,,
222,222,,,8060.845703125,,,
223,223,,,8057.240234375,,,
224,224,,,8053.63720703125,,,
225,225,,,8050.041015625,,,
226,226,,,8046.4462890625,,,
227,227,,,8042.85693359375,,,
228,228,,,8039.2685546875,,,
229,229,,,8035.69091796875,,,
230,230,,,8032.11669921875,,,
231,231,,,8028.54541015625,,,
232,232,,,8024.978515625,,,
233,233,,,8021.41162109375,,,
234,234,,,8017.857421875,,,
235,235,,,8014.30419921875,,,
236,236,,,8010.7548828125,,,
237,237,,,8007.2109375,,,
238,238,,,8003.671875,,,
239,239,,,8000.13623046875,,,
240,240,,,7996.60400390625,,,
241,241,,,7993.07666015625,,,
242,242,,,7989.55517578125,,,
243,243,,,7986.0361328125,,,
244,244,,,7982.52490234375,,,
245,245,,,7979.0166015625,,,
246,246,,,7975.51171875,,,
247,247,,,7972.00927734375,,,
248,248,,,7968.515625,,,
249,249,,,7965.0263671875,,,
250,250,,,7961.53662109375,,,
251,251,,,7958.0576171875,,,
252,252,,,7954.58056640625,,,
253,253,,,7951.107421875,,,
254,254,,,7947.63818359375,,,
255,255,,,7944.17333984375,,,
256,256,,,7940.7158203125,,,
257,257,,,7937.26513671875,,,
258,258,,,7933.8125,,,
259,259,,,7930.37109375,,,
260,260,,,7926.9287109375,,,
261,261,,,7923.49560546875,,,
262,262,,,7920.06591796875,,,
263,263,,,7916.63916015625,,,
264,264,,,7913.220703125,,,
265,265,,,7909.802734375,,,
266,266,,,7906.39208984375,,,
267,267,,,7902.990234375,,,
268,268,,,7899.59130859375,,,
269,269,,,7896.19287109375,,,
270,270,,,7892.80712890625,,,
271,271,,,7889.421875,,,
272,272,,,7886.03955078125,,,
273,273,,,7882.6640625,,,
274,274,,,7879.294921875,,,
275,275,,,7875.9287109375,,,
276,276,,,7872.56787109375,,,
277,277,,,7869.212890625,,,
278,278,,,7865.86279296875,,,
279,279,,,7862.521484375,,,
280,280,,,7859.1787109375,,,
281,281,,,7855.84228515625,,,
282,282,,,7852.51611328125,,,
283,283,,,7849.1865234375,,,
