epoch,step,train/loss
0,0,0.0
1,1,10283.86328125
2,2,10262.572265625
3,3,10241.279296875
4,4,10219.95703125
5,5,10198.58203125
6,6,10177.1328125
7,7,10155.591796875
8,8,10133.9423828125
9,9,10112.1806640625
10,10,10090.2978515625
11,11,10068.2978515625
12,12,10046.1787109375
13,13,10023.947265625
14,14,10001.6103515625
15,15,9979.1767578125
16,16,9956.654296875
17,17,9934.060546875
18,18,9911.404296875
19,19,9888.70703125
20,20,9865.982421875
21,21,9843.25
22,22,9820.5322265625
23,23,9797.8525390625
24,24,9775.2314453125
25,25,9752.6962890625
26,26,9730.2724609375
27,27,9707.9833984375
28,28,9685.8564453125
29,29,9663.9169921875
30,30,9642.1904296875
31,31,9620.6953125
32,32,9599.45703125
33,33,9578.4951171875
34,34,9557.8271484375
35,35,9537.4658203125
36,36,9517.4267578125
37,37,9497.720703125
38,38,9478.3515625
39,39,9459.330078125
40,40,9440.65625
41,41,9422.33203125
42,42,9404.3544921875
43,43,9386.7216796875
44,44,9369.431640625
45,45,9352.4775390625
46,46,9335.853515625
47,47,9319.5498046875
48,48,9303.5625
49,49,9287.8818359375
50,50,9272.4990234375
51,51,9257.40625
52,52,9242.5927734375
53,53,9228.0517578125
54,54,9213.775390625
55,55,9199.7529296875
56,56,9185.978515625
57,57,9172.4453125
58,58,9159.1455078125
59,59,9146.0712890625
60,60,9133.2177734375
61,61,9120.5751953125
62,62,9108.14453125
63,63,9095.9169921875
64,64,9083.8896484375
65,65,9072.0576171875
66,66,9060.41796875
67,67,9048.9677734375
68,68,9037.705078125
69,69,9026.6259765625
70,70,9015.7294921875
71,71,9005.0107421875
72,72,8994.47265625
73,73,8984.109375
74,74,8973.9189453125
75,75,8963.900390625
76,76,8954.05078125
77,77,8944.3671875
78,78,8934.8466796875
79,79,8925.484375
80,80,8916.279296875
81,81,8907.2255859375
82,82,8898.3203125
83,83,8889.560546875
84,84,8880.9384765625
85,85,8872.4521484375
86,86,8864.0966796875
87,87,8855.8662109375
88,88,8847.7568359375
89,89,8839.7666015625
90,90,8831.88671875
91,91,8824.1162109375
92,92,8816.447265625
93,93,8808.8779296875
94,94,8801.40625
95,95,8794.025390625
96,96,8786.728515625
97,97,8779.51953125
98,98,8772.3896484375
99,99,8765.3359375
100,100,8758.3583984375
101,101,8751.44921875
102,102,8744.611328125
103,103,8737.8369140625
104,104,8731.125
105,105,8724.4736328125
106,106,8717.8779296875
107,107,8711.33984375
108,108,8704.8564453125
109,109,8698.4228515625
110,110,8692.0390625
111,111,8685.705078125
112,112,8679.4150390625
113,113,8673.1689453125
114,114,8666.966796875
115,115,8660.8046875
116,116,8654.6845703125
117,117,8648.6015625
118,118,8642.5576171875
119,119,8636.546875
120,120,8630.5732421875
121,121,8624.6337890625
122,122,8618.7265625
123,123,8612.8505859375
124,124,8607.0068359375
125,125,8601.1923828125
126,126,8595.40625
127,127,8589.6494140625
128,128,8583.9208984375
129,129,8578.21875
130,130,8572.54296875
131,131,8566.8916015625
132,132,8561.265625
133,133,8555.6630859375
134,134,8550.0859375
135,135,8544.5302734375
136,136,8538.99609375
137,137,8533.4853515625
138,138,8527.994140625
139,139,8522.5263671875
140,140,8517.0771484375
141,141,8511.6484375
142,142,8506.2392578125
143,143,8500.8486328125
144,144,8495.4755859375
145,145,8490.123046875
146,146,8484.7890625
147,147,8479.4697265625
148,148,8474.169921875
149,149,8468.8857421875
150,150,8463.619140625
151,151,8458.3662109375
152,152,8453.1318359375
153,153,8447.9111328125
154,154,8442.7080078125
155,155,8437.5185546875
156,156,8432.34375
157,157,8427.18359375
158,158,8422.0380859375
159,159,8416.90625
160,160,8411.7880859375
161,161,8406.685546875
162,162,8401.5947265625
163,163,8396.515625
164,164,8391.451171875
165,165,8386.3994140625
166,166,8381.359375
167,167,8376.3330078125
168,168,8371.31640625
169,169,8366.314453125
170,170,8361.32421875
171,171,8356.34375
172,172,8351.3759765625
173,173,8346.419921875
174,174,8341.4736328125
175,175,8336.5400390625
176,176,8331.6162109375
177,177,8326.703125
178,178,8321.7998046875
179,179,8316.9091796875
180,180,8312.02734375
181,181,8307.15625
182,182,8302.2958984375
183,183,8297.443359375
184,184,8292.6025390625
185,185,8287.771484375
186,186,8282.947265625
187,187,8278.134765625
188,188,8273.3330078125
189,189,8268.5380859375
190,190,8263.75390625
191,191,8258.9775390625
192,192,8254.2109375
193,193,8249.453125
194,194,8244.7041015625
195,195,8239.9638671875
196,196,8235.2314453125
197,197,8230.5087890625
198,198,8225.7939453125
199,199,8221.087890625
200,200,8216.388671875
201,201,8211.69921875
202,202,8207.015625
203,203,8202.341796875
204,204,8197.6748046875
205,205,8193.0166015625
206,206,8188.36669921875
207,207,8183.72412109375
208,208,8179.08837890625
209,209,8174.46142578125
210,210,8169.8408203125
211,211,8165.22900390625
212,212,8160.623046875
213,213,8156.02490234375
214,214,8151.43408203125
215,215,8146.85107421875
216,216,8142.27392578125
217,217,8137.7041015625
218,218,8133.14208984375
219,219,8128.5869140625
220,220,8124.0380859375
221,221,8119.49658203125
222,222,8114.96142578125
223,223,8110.43359375
224,224,8105.91162109375
225,225,8101.3974609375
226,226,8096.88916015625
227,227,8092.38623046875
228,228,8087.8916015625
229,229,8083.40283203125
230,230,8078.919921875
231,231,8074.44384765625
232,232,8069.9736328125
233,233,8065.51025390625
234,234,8061.05322265625
235,235,8056.60205078125
236,236,8052.1572265625
237,237,8047.71728515625
238,238,8043.2841796875
239,239,8038.857421875
240,240,8034.43603515625
241,241,8030.02197265625
242,242,8025.611328125
243,243,8021.20849609375
244,244,8016.81103515625
245,245,8012.41845703125
246,246,8008.03271484375
247,247,8003.65234375
248,248,7999.27734375
249,249,7994.908203125
250,250,7990.544921875
251,251,7986.18701171875
252,252,7981.833984375
253,253,7977.48779296875
254,254,7973.1455078125
255,255,7968.80908203125
256,256,7964.478515625
257,257,7960.15380859375
258,258,7955.83349609375
259,259,7951.5185546875
260,260,7947.20947265625
261,261,7942.9052734375
262,262,7938.60595703125
263,263,7934.3125
264,264,7930.0244140625
265,265,7925.73974609375
266,266,7921.46240234375
267,267,7917.189453125
268,268,7912.92138671875
269,269,7908.65771484375
270,270,7904.3994140625
271,271,7900.14599609375
272,272,7895.8974609375
273,273,7891.654296875
274,274,7887.41552734375
275,275,7883.1826171875
276,276,7878.95361328125
277,277,7874.73046875
278,278,7870.51123046875
279,279,7866.29638671875
280,280,7862.08740234375
281,281,7857.8828125
282,282,7853.68310546875
283,283,7849.48779296875
284,284,7845.296875
285,285,7841.11083984375
286,286,7836.92919921875
287,287,7832.7529296875
288,288,7828.580078125
289,289,7824.41357421875
290,290,7820.2490234375
291,291,7816.091796875
292,292,7811.93701171875
293,293,7807.7880859375
294,294,7803.64306640625
295,295,7799.5029296875
296,296,7795.3662109375
297,297,7791.23486328125
298,298,7787.10791015625
299,299,7782.9853515625
300,300,7778.86669921875
301,301,7774.751953125
302,302,7770.642578125
303,303,7766.537109375
304,304,7762.4365234375
305,305,7758.33935546875
306,306,7754.24658203125
307,307,7750.15869140625
308,308,7746.07421875
309,309,7741.994140625
310,310,7737.9189453125
311,311,7733.84716796875
312,312,7729.7802734375
313,313,7725.71630859375
314,314,7721.6572265625
315,315,7717.6025390625
316,316,7713.5517578125
317,317,7709.50537109375
318,318,7705.462890625
319,319,7701.42333984375
320,320,7697.3896484375
321,321,7693.359375
322,322,7689.3330078125
323,323,7685.31005859375
324,324,7681.2919921875
325,325,7677.27783203125
326,326,7673.26708984375
327,327,7669.2607421875
328,328,7665.25830078125
329,329,7661.259765625
330,330,7657.26513671875
331,331,7653.2744140625
332,332,7649.287109375
333,333,7645.3046875
334,334,7641.3251953125
335,335,7637.3505859375
336,336,7633.37890625
337,337,7629.41162109375
338,338,7625.447265625
339,339,7621.48828125
340,340,7617.5322265625
341,341,7613.57958984375
342,342,7609.630859375
343,343,7605.68603515625
344,344,7601.74560546875
345,345,7597.8076171875
346,346,7593.875
347,347,7589.9443359375
348,348,7586.01806640625
349,349,7582.095703125
350,350,7578.177734375
351,351,7574.2626953125
352,352,7570.35107421875
353,353,7566.44287109375
354,354,7562.53955078125
355,355,7558.63916015625
356,356,7554.7421875
357,357,7550.84912109375
358,358,7546.958984375
359,359,7543.07373046875
360,360,7539.19140625
361,361,7535.3125
362,362,7531.43701171875
363,363,7527.5654296875
364,364,7523.69775390625
365,365,7519.83349609375
366,366,7515.97216796875
367,367,7512.1142578125
368,368,7508.2607421875
369,369,7504.41015625
370,370,7500.5634765625
371,371,7496.71923828125
372,372,7492.87939453125
373,373,7489.04296875
374,374,7485.2099609375
375,375,7481.380859375
376,376,7477.55517578125
377,377,7473.73193359375
378,378,7469.912109375
379,379,7466.09716796875
380,380,7462.28466796875
381,381,7458.47607421875
382,382,7454.669921875
383,383,7450.8671875
384,384,7447.068359375
385,385,7443.2734375
386,386,7439.48095703125
387,387,7435.6923828125
388,388,7431.90625
389,389,7428.12451171875
390,390,7424.34619140625
391,391,7420.57080078125
392,392,7416.79833984375
393,393,7413.02978515625
394,394,7409.26416015625
395,395,7405.501953125
396,396,7401.7431640625
397,397,7397.98779296875
398,398,7394.23486328125
399,399,7390.48583984375
400,400,7386.74072265625
401,401,7382.99755859375
402,402,7379.2587890625
403,403,7375.5224609375
404,404,7371.7900390625
405,405,7368.060546875
406,406,7364.333984375
407,407,7360.611328125
408,408,7356.89013671875
409,409,7353.17333984375
410,410,7349.46044921875
411,411,7345.75
412,412,7342.04345703125
413,413,7338.3388671875
414,414,7334.638671875
415,415,7330.94091796875
416,416,7327.24609375
417,417,7323.5546875
418,418,7319.86669921875
419,419,7316.18115234375
420,420,7312.5
421,421,7308.8212890625
422,422,7305.14501953125
423,423,7301.47314453125
424,424,7297.802734375
425,425,7294.13623046875
426,426,7290.4736328125
427,427,7286.8134765625
428,428,7283.15673828125
429,429,7279.501953125
430,430,7275.8515625
431,431,7272.20361328125
432,432,7268.55810546875
433,433,7264.9169921875
434,434,7261.2783203125
435,435,7257.642578125
436,436,7254.009765625
437,437,7250.38037109375
438,438,7246.75439453125
439,439,7243.13037109375
440,440,7239.51025390625
441,441,7235.892578125
442,442,7232.27734375
443,443,7228.66650390625
444,444,7225.05810546875
445,445,7221.4521484375
446,446,7217.85009765625
447,447,7214.25048828125
448,448,7210.654296875
449,449,7207.060546875
450,450,7203.4697265625
451,451,7199.88232421875
452,452,7196.2978515625
